x,y,yaw
-4.408060014247894287e-02,-8.491628766059875488e-01,3.403411865234375000e+00
-2.372249960899353027e-01,-9.009209871292114258e-01,3.403422832489013672e+00
-4.303688108921051025e-01,-9.526814222335815430e-01,3.403435230255126953e+00
-6.235119104385375977e-01,-1.004444241523742676e+00,3.403448581695556641e+00
-8.166543245315551758e-01,-1.056209921836853027e+00,3.403463363647460938e+00
-1.009796023368835449e+00,-1.107978343963623047e+00,3.403479099273681641e+00
-1.202936768531799316e+00,-1.159749984741210938e+00,3.403495788574218750e+00
-1.396076679229736328e+00,-1.211524963378906250e+00,3.403513908386230469e+00
-1.589215636253356934e+00,-1.263303637504577637e+00,3.403532981872558594e+00
-1.782353520393371582e+00,-1.315086007118225098e+00,3.403553009033203125e+00
-1.975490450859069824e+00,-1.366872310638427734e+00,3.403573989868164062e+00
-2.168626070022583008e+00,-1.418662786483764648e+00,3.403596162796020508e+00
-2.361760616302490234e+00,-1.470457673072814941e+00,3.403619289398193359e+00
-2.554893970489501953e+00,-1.522257089614868164e+00,3.403643131256103516e+00
-2.748025894165039062e+00,-1.574061274528503418e+00,3.403668165206909180e+00
-2.941156864166259766e+00,-1.625870347023010254e+00,3.403694152832031250e+00
-3.134286165237426758e+00,-1.677684545516967773e+00,3.403720855712890625e+00
-3.327414274215698242e+00,-1.729503870010375977e+00,3.403748512268066406e+00
-3.520540714263916016e+00,-1.781328678131103516e+00,3.403776884078979492e+00
-3.713665723800659180e+00,-1.833159089088439941e+00,3.403805971145629883e+00
-3.906789302825927734e+00,-1.884995102882385254e+00,3.403836011886596680e+00
-4.099911212921142578e+00,-1.936836957931518555e+00,3.403866529464721680e+00
-4.293031692504882812e+00,-1.988684892654418945e+00,3.403897762298583984e+00
-4.486150264739990234e+00,-2.040538787841796875e+00,3.403929710388183594e+00
-4.679267406463623047e+00,-2.092399120330810547e+00,3.403962373733520508e+00
-4.872382640838623047e+00,-2.144265890121459961e+00,3.403995513916015625e+00
-5.065495967864990234e+00,-2.196138858795166016e+00,3.404029369354248047e+00
-5.258607864379882812e+00,-2.248018503189086914e+00,3.404063701629638672e+00
-5.451717853546142578e+00,-2.299904823303222656e+00,3.404098272323608398e+00
-5.644826412200927734e+00,-2.351797819137573242e+00,3.404133558273315430e+00
-5.837932586669921875e+00,-2.403697729110717773e+00,3.404169082641601562e+00
-6.031037330627441406e+00,-2.455604314804077148e+00,3.404205083847045898e+00
-6.224139690399169922e+00,-2.507518291473388672e+00,3.404241323471069336e+00
-6.417240619659423828e+00,-2.559438943862915039e+00,3.404278039932250977e+00
-6.610339164733886719e+00,-2.611366987228393555e+00,3.404314756393432617e+00
-6.803436279296875000e+00,-2.663301944732666016e+00,3.404351949691772461e+00
-6.996531009674072266e+00,-2.715244054794311523e+00,3.404389142990112305e+00
-7.189624309539794922e+00,-2.767193555831909180e+00,3.404426813125610352e+00
-7.382715225219726562e+00,-2.819150209426879883e+00,3.404464244842529297e+00
-7.575804710388183594e+00,-2.871114253997802734e+00,3.404501914978027344e+00
-7.768891811370849609e+00,-2.923085451126098633e+00,3.404539585113525391e+00
