time_s,label,x,y,v,yaw,cte,ref_x,ref_y,ref_v,yaw_diff
0.0426,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.047,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0514,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0556,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0598,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.064,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0684,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0726,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.0957,LMPC,0.0003,0.0,0.0653,0.0,0.0,0.0,0.0,7.4626,0.0
0.0998,LMPC,0.0003,0.0,0.0653,0.0,0.0,0.0,0.0,7.4626,0.0
0.1037,LMPC,0.0015,0.0,0.1604,0.0,0.0,0.0,0.0,7.4626,0.0
0.1075,LMPC,0.0015,0.0,0.1604,0.0,0.0,0.0,0.0,7.4626,0.0
0.1128,LMPC,0.0035,0.0,0.2555,0.0,0.0,0.0,0.0,7.4626,0.0
0.1175,LMPC,0.0035,0.0,0.2555,0.0,0.0,0.0,0.0,7.4626,0.0
0.1219,LMPC,0.0035,0.0,0.2555,0.0,0.0,0.0,0.0,7.4626,0.0
0.126,LMPC,0.0066,0.0,0.3506,0.0,0.0,0.0,0.0,7.4626,0.0
0.1301,LMPC,0.0066,0.0,0.3506,0.0,0.0,0.0,0.0,7.4626,0.0
0.1345,LMPC,0.0105,0.0,0.4457,0.0,0.0,0.0,0.0,7.4626,0.0
0.1387,LMPC,0.0105,0.0,0.4457,0.0,0.0,0.0,0.0,7.4626,0.0
0.1428,LMPC,0.0105,0.0,0.4457,0.0,0.0,0.0,0.0,7.4626,0.0
0.147,LMPC,0.0155,0.0,0.5408,0.0,0.0,0.03,0.0,7.4747,0.0
0.1514,LMPC,0.0155,0.0,0.5408,0.0,0.0,0.03,0.0,7.4747,0.0
0.1556,LMPC,0.0214,0.0,0.6359,0.0,0.0,0.03,0.0,7.4747,0.0
0.1597,LMPC,0.0214,0.0,0.6359,0.0,0.0,0.03,0.0,7.4747,0.0
0.1638,LMPC,0.0282,0.0,0.731,0.0,0.0,0.03,0.0,7.4747,0.0
0.1682,LMPC,0.0282,0.0,0.731,0.0,0.0,0.03,0.0,7.4747,0.0
0.1723,LMPC,0.036,0.0,0.8261,0.0,0.0,0.03,0.0,7.4747,0.0
0.1765,LMPC,0.036,0.0,0.8261,0.0,0.0,0.03,0.0,7.4747,0.0
0.1807,LMPC,0.036,0.0,0.8261,0.0,0.0,0.03,0.0,7.4747,0.0
0.1851,LMPC,0.0447,0.0,0.9212,0.0,0.0,0.03,0.0,7.4747,0.0
0.1894,LMPC,0.0447,0.0,0.9212,0.0,0.0,0.03,0.0,7.4747,0.0
0.1935,LMPC,0.0544,0.0,1.0163,0.0,0.0,0.06,0.0,7.4867,0.0
0.1976,LMPC,0.0544,0.0,1.0163,0.0,0.0,0.06,0.0,7.4867,0.0
0.2021,LMPC,0.0544,0.0,1.0163,0.0,0.0,0.06,0.0,7.4867,0.0
0.2064,LMPC,0.065,0.0,1.1114,0.0,0.0,0.06,0.0,7.4867,0.0
0.2105,LMPC,0.065,0.0,1.1114,0.0,0.0,0.06,0.0,7.4867,0.0
0.2149,LMPC,0.0766,0.0,1.2065,0.0,0.0,0.09,0.0,7.4987,0.0
0.2195,LMPC,0.0766,0.0,1.2065,0.0,0.0,0.09,0.0,7.4987,0.0
0.2237,LMPC,0.0892,0.0,1.3016,0.0,0.0,0.09,0.0,7.4987,0.0
0.2276,LMPC,0.0892,0.0,1.3016,0.0,0.0,0.09,0.0,7.4987,0.0
0.2317,LMPC,0.1027,0.0,1.3967,0.0,0.0,0.09,0.0,7.4987,0.0
0.2361,LMPC,0.1027,0.0,1.3967,0.0,0.0,0.09,0.0,7.4987,0.0
0.2405,LMPC,0.1027,0.0,1.3967,0.0,0.0,0.09,0.0,7.4987,0.0
0.2446,LMPC,0.1171,0.0,1.4918,0.0,0.0,0.12,0.0,7.5107,0.0
