time_s,label,x,y,v,yaw,cte,ref_x,ref_y,ref_v,yaw_diff
0.1697,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.1813,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.1918,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2014,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2079,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2138,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2193,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2246,LMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7313,0.0
0.2296,LMPC,0.0002,0.0,0.0326,0.0,0.0,0.0,0.0,3.7313,0.0
0.2348,LMPC,0.0002,0.0,0.0326,0.0,0.0,0.0,0.0,3.7313,0.0
0.2398,LMPC,0.001,0.0,0.1277,0.0,0.0,0.0,0.0,3.7313,0.0
0.2446,LMPC,0.001,0.0,0.1277,0.0,0.0,0.0,0.0,3.7313,0.0
0.2491,LMPC,0.0027,0.0,0.2228,0.0,0.0,0.0,0.0,3.7313,0.0
0.2537,LMPC,0.0027,0.0,0.2228,0.0,0.0,0.0,0.0,3.7313,0.0
0.258,LMPC,0.0054,0.0,0.3179,0.0,0.0,0.0,0.0,3.7313,0.0
0.2623,LMPC,0.0054,0.0,0.3179,0.0,0.0,0.0,0.0,3.7313,0.0
0.2666,LMPC,0.0054,0.0,0.3179,0.0,0.0,0.0,0.0,3.7313,0.0
0.2711,LMPC,0.0091,0.0,0.413,0.0,0.0,0.0,0.0,3.7313,0.0
0.2754,LMPC,0.0091,0.0,0.413,0.0,0.0,0.0,0.0,3.7313,0.0
0.2795,LMPC,0.0137,0.0,0.5081,0.0,0.0,0.0,0.0,3.7313,0.0
0.2837,LMPC,0.0137,0.0,0.5081,0.0,0.0,0.0,0.0,3.7313,0.0
0.288,LMPC,0.0137,0.0,0.5081,0.0,0.0,0.0,0.0,3.7313,0.0
0.2921,LMPC,0.0192,0.0,0.6032,0.0,0.0,0.03,0.0,3.7517,0.0
0.2962,LMPC,0.0192,0.0,0.6032,0.0,0.0,0.03,0.0,3.7517,0.0
0.3003,LMPC,0.0257,0.0,0.6983,0.0,0.0,0.03,0.0,3.7517,0.0
0.3047,LMPC,0.0257,0.0,0.6983,0.0,0.0,0.03,0.0,3.7517,0.0
0.3092,LMPC,0.0332,0.0,0.7934,0.0,0.0,0.03,0.0,3.7517,0.0
0.3136,LMPC,0.0332,0.0,0.7934,0.0,0.0,0.03,0.0,3.7517,0.0
0.3179,LMPC,0.0416,0.0,0.8885,0.0,0.0,0.03,0.0,3.7517,0.0
0.3241,LMPC,0.0416,0.0,0.8885,0.0,0.0,0.03,0.0,3.7517,0.0
0.3288,LMPC,0.051,0.0,0.9836,0.0,0.0,0.06,0.0,3.7756,0.0
0.3325,LMPC,0.051,0.0,0.9836,0.0,0.0,0.06,0.0,3.7756,0.0
0.3362,LMPC,0.0613,0.0,1.0787,0.0,0.0,0.06,0.0,3.7756,0.0
0.3403,LMPC,0.0613,0.0,1.0787,0.0,0.0,0.06,0.0,3.7756,0.0
0.3465,LMPC,0.0613,0.0,1.0787,0.0,0.0,0.06,0.0,3.7756,0.0
