time_s,label,x,y,v,yaw,cte,ref_x,ref_y,ref_v,yaw_diff
0.3106,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.327,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.3423,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.357,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.3729,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.3883,NMPC,0.0003,0.0,0.0653,0.0,0.0,0.0,0.0,7.4626,0.0
0.4022,NMPC,0.0035,0.0,0.2555,0.0,0.0,0.0,0.0,7.4626,0.0
0.4147,NMPC,0.0066,0.0,0.3506,0.0,0.0,0.0,0.0,7.4626,0.0
0.4264,NMPC,0.0155,0.0,0.5408,0.0,0.0,0.03,0.0,7.4747,0.0
0.4552,NMPC,0.036,0.0,0.8261,0.0,0.0,0.03,0.0,7.4747,0.0
0.4716,NMPC,0.0447,0.0,0.9212,0.0,0.0,0.03,0.0,7.4747,0.0
0.4821,NMPC,0.0544,0.0,1.0163,0.0,0.0,0.06,0.0,7.4867,0.0
0.4939,NMPC,0.065,0.0,1.1114,0.0,0.0,0.06,0.0,7.4867,0.0
0.5074,NMPC,0.0892,0.0,1.3016,0.0,0.0,0.09,0.0,7.4987,0.0
0.5217,NMPC,0.1027,0.0,1.3967,0.0,0.0,0.09,0.0,7.4987,0.0
0.5359,NMPC,0.1171,0.0,1.4918,0.0,0.0,0.12,0.0,7.5107,0.0
0.5506,NMPC,0.1488,0.0,1.682,0.0,0.0,0.15,0.0,7.5227,0.0
0.5608,NMPC,0.1661,0.0,1.7771,0.0,0.0,0.18,0.0,7.5346,0.0
0.573,NMPC,0.2036,0.0,1.9673,0.0,0.0,0.21,0.0,7.5466,0.0
0.582,NMPC,0.2036,0.0,1.9673,0.0,0.0,0.21,0.0,7.5466,0.0
