time_s,label,x,y,v,yaw,cte,ref_x,ref_y,ref_v,yaw_diff
0.123,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.128,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1336,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1443,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1507,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1566,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.162,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1694,NMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4626,0.0
0.1952,NMPC,0.0035,0.0,0.2555,0.0001,0.0,0.0,0.0,7.4626,0.0001
0.202,NMPC,0.0035,0.0,0.2555,0.0001,0.0,0.0,0.0,7.4626,0.0001
0.2088,NMPC,0.0066,0.0,0.3506,0.0002,0.0,0.0,0.0,7.4626,0.0002
0.2155,NMPC,0.0105,0.0,0.4457,0.0,0.0,0.0,0.0,7.4626,0.0
0.2227,NMPC,0.0105,0.0,0.4457,0.0,0.0,0.0,0.0,7.4626,0.0
0.2292,NMPC,0.0155,-0.0,0.5408,-0.0002,0.0,0.03,0.0,7.4747,-0.0002
0.2354,NMPC,0.0214,-0.0001,0.6359,-0.0003,0.0001,0.03,0.0,7.4747,-0.0003
0.2425,NMPC,0.0214,-0.0001,0.6359,-0.0003,0.0001,0.03,0.0,7.4747,-0.0003
0.2497,NMPC,0.0282,-0.0001,0.731,-0.0006,0.0001,0.03,0.0,7.4747,-0.0006
0.258,NMPC,0.036,-0.0001,0.8261,-0.0008,0.0001,0.03,0.0,7.4747,-0.0008
0.2657,NMPC,0.0447,-0.0002,0.9212,-0.0013,0.0002,0.03,0.0,7.4747,-0.0013
0.2743,NMPC,0.0544,-0.0003,1.0163,-0.0015,0.0003,0.06,0.0,7.4867,-0.0015
0.2844,NMPC,0.0544,-0.0003,1.0163,-0.0015,0.0003,0.06,0.0,7.4867,-0.0015
0.292,NMPC,0.0766,-0.0004,1.2065,-0.0014,0.0004,0.09,0.0,7.4987,-0.0014
0.2996,NMPC,0.0766,-0.0004,1.2065,-0.0014,0.0004,0.09,0.0,7.4987,-0.0014
0.3098,NMPC,0.0892,-0.0003,1.3016,-0.0012,0.0003,0.09,0.0,7.4987,-0.0012
0.3253,NMPC,0.1027,-0.0003,1.3967,-0.0008,0.0003,0.09,0.0,7.4987,-0.0008
0.3358,NMPC,0.1325,-0.0002,1.5869,0.0002,0.0002,0.12,0.0,7.5107,0.0002
0.3444,NMPC,0.1488,-0.0001,1.682,0.0007,0.0001,0.15,0.0,7.5227,0.0007
0.3521,NMPC,0.1661,-0.0,1.7771,0.0013,0.0,0.18,0.0,7.5346,0.0013
0.3605,NMPC,0.1661,-0.0,1.7771,0.0013,0.0,0.18,0.0,7.5346,0.0013
0.3685,NMPC,0.1844,0.0001,1.8722,0.0019,0.0001,0.18,0.0,7.5346,0.0019
0.3777,NMPC,0.2036,0.0002,1.9673,0.0026,0.0002,0.21,0.0,7.5466,0.0026
0.3876,NMPC,0.2237,0.0004,2.0624,0.0031,0.0004,0.21,0.0,7.5466,0.0031
0.3958,NMPC,0.2448,0.0005,2.1575,0.0032,0.0005,0.24,0.0,7.5585,0.0032
0.404,NMPC,0.2669,0.0006,2.2526,0.0031,0.0006,0.27,0.0,7.5704,0.0031
0.4123,NMPC,0.2669,0.0006,2.2526,0.0031,0.0006,0.27,0.0,7.5704,0.0031
0.4221,NMPC,0.2899,0.0006,2.3477,0.0027,0.0006,0.3,0.0,7.5823,0.0027
0.4387,NMPC,0.3387,0.0007,2.5379,0.0018,0.0007,0.33,0.0,7.5941,0.0018
0.4506,NMPC,0.3646,0.0007,2.633,0.0012,0.0007,0.36,0.0,7.606,0.0012
0.461,NMPC,0.3914,0.0006,2.7281,0.0004,0.0006,0.39,0.0,7.6178,0.0004
0.4698,NMPC,0.4191,0.0006,2.8232,-0.0003,0.0006,0.42,0.0,7.6296,-0.0003
0.4782,NMPC,0.4479,0.0005,2.9183,-0.0011,0.0005,0.45,0.0,7.6414,-0.0011
0.4863,NMPC,0.4775,0.0004,3.0134,-0.0019,0.0004,0.48,0.0,7.6532,-0.0019
0.4958,NMPC,0.5081,0.0002,3.1085,-0.0028,0.0002,0.51,0.0,7.6649,-0.0028
0.5047,NMPC,0.5081,0.0002,3.1085,-0.0028,0.0002,0.51,0.0,7.6649,-0.0028
0.5171,NMPC,0.5722,-0.0002,3.2987,-0.0047,0.0002,0.57,0.0,7.6884,-0.0047
0.5263,NMPC,0.6056,-0.0004,3.3938,-0.0055,0.0004,0.6,0.0,7.7,-0.0055
0.5344,NMPC,0.6401,-0.0006,3.4889,-0.006,0.0006,0.63,0.0,7.7117,-0.006
0.5439,NMPC,0.6401,-0.0006,3.4889,-0.006,0.0006,0.63,0.0,7.7117,-0.006
0.5517,NMPC,0.7117,-0.001,3.6791,-0.0058,0.001,0.72,0.0,7.7467,-0.0058
0.5605,NMPC,0.7117,-0.001,3.6791,-0.0058,0.001,0.72,0.0,7.7467,-0.0058
0.5688,NMPC,0.749,-0.0012,3.7742,-0.0053,0.0012,0.75,0.0,7.7583,-0.0053
0.5771,NMPC,0.7872,-0.0013,3.8693,-0.0048,0.0013,0.78,0.0,7.7699,-0.0048
0.5855,NMPC,0.8264,-0.0014,3.9644,-0.004,0.0014,0.84,0.0,7.793,-0.004
0.5955,NMPC,0.8665,-0.0015,4.0595,-0.0032,0.0015,0.87,0.0,7.8045,-0.0032
0.6037,NMPC,0.8665,-0.0015,4.0595,-0.0032,0.0015,0.87,0.0,7.8045,-0.0032
0.6124,NMPC,0.9076,-0.0016,4.1546,-0.0023,0.0016,0.9,0.0,7.8161,-0.0023
0.6213,NMPC,0.9496,-0.0017,4.2497,-0.0014,0.0017,0.96,0.0,7.8391,-0.0014
0.6299,NMPC,0.9926,-0.0017,4.3448,-0.0003,0.0017,0.99,0.0,7.8505,-0.0003
0.6384,NMPC,1.0365,-0.0017,4.4399,0.0006,0.0017,1.05,0.0,7.8734,0.0006
0.6475,NMPC,1.0814,-0.0016,4.535,0.0017,0.0016,1.08,0.0,7.8848,0.0017
0.6547,NMPC,1.1272,-0.0016,4.6301,0.0027,0.0016,1.14,0.0,7.9076,0.0027
0.6627,NMPC,1.1272,-0.0016,4.6301,0.0027,0.0016,1.14,0.0,7.9076,0.0027
0.671,NMPC,1.174,-0.0014,4.7252,0.0038,0.0014,1.17,0.0,7.919,0.0038
0.6804,NMPC,1.2217,-0.0013,4.8203,0.0048,0.0013,1.23,0.0,7.9417,0.0048
0.6887,NMPC,1.2704,-0.0011,4.9154,0.0059,0.0011,1.26,0.0,7.953,0.0059
0.6974,NMPC,1.32,-0.0008,5.0105,0.0068,0.0008,1.32,0.0,7.9756,0.0068
0.7064,NMPC,1.3706,-0.0006,5.1056,0.0073,0.0006,1.38,0.0,7.9982,0.0073
0.7154,NMPC,1.4221,-0.0004,5.2007,0.0073,0.0004,1.41,0.0,8.0094,0.0073
0.724,NMPC,1.4221,-0.0004,5.2007,0.0073,0.0004,1.41,0.0,8.0094,0.0073
